strikePrice,expiryDate,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,CE.openInterest,CE.changeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,timestamp
17050,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17050.00,1647.0,-390.0,24795.0,13.74,274.1,-167.2,169750.0,22950.0,100.0,271.1,1550.0,276.95,21090.0,3472.0,638147.0,20.73,20.0,5.699999999999999,354750.0,133100.0,1850.0,19.5,300.0,20.0,21-Dec-2021 15:30:00
17100,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17100.00,19846.0,-6946.0,73967.0,0.0,317.35,-171.54999999999995,197700.0,32000.0,100.0,317.35,200.0,320.0,92279.0,-12867.0,1443509.0,20.66,13.5,2.3000000000000007,498250.0,441150.0,50.0,13.2,950.0,13.75,21-Dec-2021 15:30:00
17150,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17150.00,1526.0,-293.0,4210.0,0.0,366.45,-177.90000000000003,507250.0,21150.0,3250.0,314.15,750.0,366.25,29633.0,5061.0,614386.0,20.7,9.05,-0.1999999999999993,266600.0,176750.0,50.0,9.05,250.0,9.3,21-Dec-2021 15:30:00
17200,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17200.00,9334.0,-6456.0,33943.0,0.0,410.45,-174.34999999999997,147950.0,21850.0,100.0,410.0,50.0,413.0,119500.0,6659.0,1153202.0,21.02,6.3,-1.6000000000000005,985650.0,906800.0,250.0,6.25,750.0,6.35,21-Dec-2021 15:30:00
17250,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17250.00,3173.0,-308.0,2503.0,0.0,459.6,-180.19999999999993,142650.0,18350.0,50.0,455.5,100.0,461.5,37720.0,6232.0,378797.0,21.47,4.5,-2.55,245000.0,293950.0,650.0,4.5,1000.0,4.9,21-Dec-2021 15:30:00
17300,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17300.00,13880.0,-7682.0,19190.0,0.0,509.65,-170.35000000000002,144850.0,25900.0,50.0,506.95,50.0,509.45,111972.0,-7436.0,910477.0,22.78,4.0,-2.0999999999999996,416500.0,626800.0,900.0,3.85,3650.0,4.0,21-Dec-2021 15:30:00
17350,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17350.00,1008.0,-74.0,499.0,0.0,558.4,-172.35000000000002,138650.0,22400.0,150.0,553.25,150.0,559.5,26144.0,3905.0,229303.0,23.97,3.5,-2.2,199800.0,192650.0,750.0,3.45,750.0,3.65,21-Dec-2021 15:30:00
17400,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17400.00,3937.0,-572.0,1761.0,0.0,607.85,-172.85000000000002,194400.0,21350.0,300.0,605.05,100.0,610.1,65795.0,-22918.0,617325.0,25.22,3.15,-2.0500000000000003,769700.0,365500.0,50.0,3.05,200.0,3.2,21-Dec-2021 15:30:00
17450,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17450.00,412.0,-108.0,245.0,0.0,664.2,-174.14999999999998,33450.0,23650.0,500.0,653.4,1000.0,660.35,12030.0,-221.0,102856.0,26.67,3.0,-1.8499999999999996,217600.0,139050.0,50.0,2.6,400.0,3.0,21-Dec-2021 15:30:00
17500,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17500.00,7734.0,-3058.0,5821.0,0.0,706.8,-179.45000000000005,34400.0,22150.0,50.0,705.0,100.0,709.05,119987.0,-5035.0,767094.0,27.68,2.6,-1.7499999999999996,926750.0,526950.0,1300.0,2.45,6250.0,2.6,21-Dec-2021 15:30:00
17550,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17550.00,1530.0,-210.0,328.0,0.0,758.75,-170.95000000000005,28150.0,19200.0,50.0,751.65,350.0,757.4,11986.0,-1299.0,87721.0,28.82,2.35,-1.6999999999999997,10150.0,141950.0,300.0,2.25,950.0,2.35,21-Dec-2021 15:30:00
17600,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17600.00,1091.0,-833.0,1424.0,0.0,807.35,-179.25,28450.0,22100.0,1000.0,805.05,1000.0,809.95,47128.0,-31688.0,422274.0,30.28,2.3,-1.35,276250.0,145150.0,6450.0,2.1,50.0,2.3,21-Dec-2021 15:30:00
17650,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17650.00,127.0,-13.0,25.0,0.0,792.0,-250.5,27400.0,21150.0,3600.0,848.95,200.0,860.0,9658.0,414.0,35774.0,31.4,2.1,-1.15,143400.0,103950.0,400.0,2.05,550.0,2.1,21-Dec-2021 15:30:00
17700,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17700.00,543.0,-70.0,149.0,0.0,914.25,-162.20000000000005,29200.0,22450.0,200.0,899.95,100.0,909.45,31357.0,-12227.0,234709.0,32.22,1.8,-1.0999999999999999,311550.0,102950.0,1150.0,1.8,950.0,2.0,21-Dec-2021 15:30:00
17750,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17750.00,89.0,0.0,73.0,54.76,995.85,-154.14999999999998,20100.0,20150.0,50.0,911.6,200.0,960.3,6240.0,-8.0,21878.0,33.16,1.6,-1.15,154200.0,79700.0,200.0,1.6,50.0,1.95,21-Dec-2021 15:30:00
17800,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17800.00,810.0,-35.0,494.0,0.0,1008.1,-183.85000000000002,21950.0,22950.0,200.0,1001.6,1000.0,1009.65,38228.0,-9189.0,197028.0,34.6,1.6,-0.8500000000000001,356600.0,105700.0,1050.0,1.55,2000.0,1.75,21-Dec-2021 15:30:00
17850,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17850.00,83.0,-3.0,15.0,0.0,1058.75,-201.1500000000001,16700.0,19600.0,2800.0,1012.35,1000.0,1060.3,4310.0,-874.0,16667.0,36.57,1.8,-0.4999999999999998,179100.0,79600.0,50.0,1.35,500.0,1.9,21-Dec-2021 15:30:00
17900,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17900.00,231.0,-10.0,43.0,0.0,1111.0,-156.75,18600.0,20850.0,1500.0,1060.4,1550.0,1111.85,16482.0,-6747.0,113610.0,36.97,1.45,-0.6500000000000001,331400.0,81950.0,1850.0,1.45,2700.0,1.65,21-Dec-2021 15:30:00
17950,23-Dec-2021,OPTIDXNIFTY23-12-2021PE17950.00,32.0,-3.0,3.0,45.19,1174.05,-210.95000000000005,16350.0,13950.0,800.0,1150.4,50.0,1160.65,3163.0,355.0,6946.0,38.68,1.55,-0.4999999999999998,212800.0,83600.0,1500.0,1.7,50.0,1.8,21-Dec-2021 15:30:00
18000,23-Dec-2021,OPTIDXNIFTY23-12-2021PE18000.00,760.0,-6.0,111.0,0.0,1204.55,-182.4000000000001,21300.0,20600.0,50.0,1203.9,150.0,1207.0,90482.0,-4299.0,346976.0,40.53,1.7,-0.25,2270250.0,174800.0,100.0,1.65,1550.0,1.7,21-Dec-2021 15:30:00
